timestamp,temperature
1518631200,3.8
1518634800,3.6
1518638400,3.4
1518642000,3.3
1518645600,3.1
1518649200,3.2
1518652800,2.1
1518656400,0.9
1518660000,0.6
1518663600,0.8
1518667200,1.0
1518670800,1.4
1518674400,1.6
1518678000,2.1
1518681600,2.7
1518685200,3.7
1518688800,4.6
1518692400,5.5
1518696000,7.5
1518699600,9.7
1518703200,9.6
1518706800,8.6
1518710400,7.4
1518714000,6.5
1518717600,6.5
1518721200,5.2
1518724800,4.7
1518728400,3.7
1518732000,2.3
1518735600,4.0
1518739200,3.6
1518742800,3.3
1518746400,3.7
1518750000,2.2
1518753600,2.1
1518757200,2.1
1518760800,2.0
1518764400,3.1
1518768000,4.8
1518771600,6.3
1518775200,6.6
1518778800,7.1
1518782400,8.1
1518786000,8.0
1518789600,7.9
1518793200,7.1
1518796800,5.5
1518800400,1.6
1518804000,0.0
1518807600,-1.2
1518811200,-1.7
1518814800,-1.9
1518818400,-2.0
1518822000,-1.8
1518825600,-2.2
1518829200,-2.4
1518832800,-1.5
1518836400,-1.8
1518840000,-1.2
1518843600,-0.5
1518847200,-0.7
1518850800,-0.8
1518854400,0.8
1518858000,4.3
1518861600,5.7
1518865200,6.2
1518868800,7.4
1518872400,7.3
1518876000,7.1
1518879600,6.4
1518883200,3.5
1518886800,0.9
1518890400,-0.9
1518894000,-2.3
1518897600,-2.8
1518901200,-3.3
1518904800,-3.2
1518908400,-3.6
1518912000,-3.9
1518915600,-4.1
1518919200,-4.3
1518922800,-4.0
1518926400,-4.3
1518930000,-2.9
1518933600,-3.1
1518937200,-1.2
1518940800,-0.2
1518944400,1.4
1518948000,3.4
1518951600,4.8
1518955200,5.6
1518958800,6.8
1518962400,7.2
1518966000,6.5
1518969600,4.6
1518973200,3.4
1518976800,1.6
1518980400,0.2
1518984000,0.2
1518987600,-0.3
1518991200,-1.3
1518994800,-0.4
1518998400,-1.0
1519002000,-1.1
1519005600,-0.2
1519009200,0.4
1519012800,0.1
1519016400,0.4
1519020000,0.3
1519023600,0.4
1519027200,0.5
1519030800,1.0
1519034400,1.9
1519038000,2.4
1519041600,2.8
1519045200,3.1
1519048800,3.3
1519052400,3.1
1519056000,2.9
1519059600,2.8
1519063200,2.8
1519066800,2.5
1519070400,1.8
1519074000,1.4
1519077600,-0.6
1519081200,-2.3
1519084800,-2.6
1519088400,-3.2
1519092000,-3.5
1519095600,-3.7
1519099200,-1.9
1519102800,-2.0
1519106400,-1.3
1519110000,-0.5
1519113600,1.6
1519117200,3.4
1519120800,3.9
1519124400,4.0
1519128000,4.5
1519131600,4.4
1519135200,4.1
1519138800,4.0
1519142400,3.5
1519146000,2.2
1519149600,1.4
1519153200,0.9
1519156800,0.1
1519160400,-0.1
1519164000,-0.3
1519167600,-0.8
1519171200,-0.6
1519174800,-1.1
1519178400,-1.7
1519182000,-2.2
1519185600,-3.1
1519189200,-2.2
1519192800,-3.6
1519196400,-1.9
1519200000,-0.4
1519203600,1.9
1519207200,3.3
1519210800,3.9
1519214400,3.9
1519218000,4.4
1519221600,4.1
1519225200,3.5
1519228800,2.3
1519232400,1.3
1519236000,0.2
1519239600,-0.4
1519243200,-0.6
1519246800,-1.2
1519250400,-1.2
1519254000,-1.5
1519257600,-1.9
1519261200,-2.0
1519264800,-2.3
1519268400,-2.2
1519272000,-2.4
1519275600,-2.9
1519279200,-2.7
1519282800,-1.3
1519286400,0.5
1519290000,2.6
1519293600,3.5
1519297200,4.2
1519300800,4.4
1519304400,4.7
1519308000,4.3
1519311600,3.3
1519315200,2.0
1519318800,0.8
1519322400,0.0
1519326000,-0.6
1519329600,-0.9
1519333200,-1.7
1519336800,-2.1
1519340400,-2.0
1519344000,-2.3
1519347600,-2.9
1519351200,-3.4
1519354800,-3.0
1519358400,-3.3
1519362000,-3.2
1519365600,-3.0
1519369200,-2.2
1519372800,-0.2
1519376400,1.2
1519380000,2.1
1519383600,2.2
1519387200,3.0
1519390800,3.0
1519394400,3.0
1519398000,2.4
1519401600,1.4
1519405200,0.5
1519408800,-0.1
1519412400,-0.8
1519416000,-1.0
1519419600,-1.3
1519423200,-1.7
1519426800,-2.1
1519430400,-2.4
1519434000,-2.5
1519437600,-2.8
1519441200,-2.9
1519444800,-3.3
1519448400,-3.1
1519452000,-3.0
1519455600,-2.2
1519459200,-0.6
1519462800,0.9
1519466400,2.1
1519470000,2.5
1519473600,2.3
1519477200,2.9
1519480800,2.9
1519484400,2.4
1519488000,1.5
1519491600,0.5
1519495200,-0.2
1519498800,-0.4
1519502400,-0.7
1519506000,-0.9
1519509600,-1.5
1519513200,-1.8
1519516800,-2.2
1519520400,-2.6
1519524000,-3.1
1519527600,-3.5
1519531200,-4.0
1519534800,-4.3
1519538400,-4.4
1519542000,-3.5
1519545600,-2.5
1519549200,-1.7
1519552800,-0.5
1519556400,0.5
1519560000,0.7
1519563600,1.0
1519567200,0.7
1519570800,-0.1
1519574400,-1.1
1519578000,-1.7
1519581600,-2.0
1519585200,-2.4
1519588800,-3.2
1519592400,-3.8
1519596000,-4.2
1519599600,-4.9
1519603200,-4.2
1519606800,-3.7
1519610400,-4.3
1519614000,-5.0
1519617600,-5.3
1519621200,-5.7
1519624800,-5.7
1519628400,-4.8
1519632000,-4.3
1519635600,-3.2
1519639200,-1.5
1519642800,-1.4
1519646400,-0.6
1519650000,-0.1
1519653600,-0.8
1519657200,-1.6
1519660800,-2.0
1519664400,-2.6
1519668000,-3.1
1519671600,-3.4
1519675200,-3.8
1519678800,-3.9
1519682400,-3.7
1519686000,-3.4
1519689600,-2.9
1519693200,-3.1
1519696800,-3.6
1519700400,-4.4
1519704000,-5.1
1519707600,-6.0
1519711200,-6.1
1519714800,-4.6
1519718400,-3.1
1519722000,-2.4
1519725600,-1.3
1519729200,-0.8
1519732800,-1.2
1519736400,-0.6
1519740000,-0.7
1519743600,-1.5
1519747200,-2.7
1519750800,-3.5
1519754400,-4.2
1519758000,-4.6
1519761600,-5.2
1519765200,-6.0
1519768800,-5.8
1519772400,-6.2
1519776000,-6.9
1519779600,-7.1
1519783200,-6.5
1519786800,-5.7
1519790400,-5.9
1519794000,-6.3
1519797600,-6.4
1519801200,-5.8
1519804800,-5.7
1519808400,-5.0
1519812000,-6.1
1519815600,-5.6
1519819200,-4.9
1519822800,-5.7
1519826400,-5.1
1519830000,-5.9
1519833600,-7.1
1519837200,-7.9
1519840800,-8.3
1519844400,-8.4
1519848000,-8.3
1519851600,-8.1
1519855200,-8.0
1519858800,-8.1
1519862400,-8.2
1519866000,-8.3
1519869600,-8.1
1519873200,-7.8
1519876800,-7.5
1519880400,-7.2
1519884000,-6.9
1519887600,-6.1
1519891200,-4.7
1519894800,-3.5
1519898400,-2.7
1519902000,-1.9
1519905600,-1.1
1519909200,-1.2
1519912800,-1.6
1519916400,-1.9
1519920000,-2.7
1519923600,-3.2
1519927200,-3.5
1519930800,-4.3
1519934400,-4.7
1519938000,-5.0
1519941600,-5.2
1519945200,-5.4
1519948800,-5.8
1519952400,-6.1
1519956000,-6.6
1519959600,-6.8
1519963200,-6.8
1519966800,-7.0
1519970400,-7.0
1519974000,-6.2
1519977600,-5.2
1519981200,-3.5
1519984800,-2.6
1519988400,-2.0
1519992000,-1.1
1519995600,-0.9
1519999200,-1.1
1520002800,-1.5
1520006400,-1.9
1520010000,-2.2
1520013600,-2.3
1520017200,-2.5
1520020800,-2.4
1520024400,-2.6
1520028000,-3.0
1520031600,-2.8
1520035200,-3.2
1520038800,-2.8
1520042400,-3.2
1520046000,-3.5
1520049600,-3.9
1520053200,-4.3
1520056800,-3.9
1520060400,-3.3
1520064000,-2.5
1520067600,-1.8
1520071200,-0.7
1520074800,-0.3
1520078400,0.5
1520082000,0.7
1520085600,0.9
1520089200,0.8
1520092800,0.6
1520096400,-0.4
1520100000,-0.6
1520103600,-1.6
1520107200,-1.7
1520110800,-2.4
1520114400,-2.2
1520118000,-1.2
1520121600,-0.4
1520125200,-1.1
1520128800,-1.6
1520132400,-1.6
1520136000,-1.3
1520139600,0.3
1520143200,0.7
1520146800,1.5
1520150400,4.0
1520154000,6.2
1520157600,7.0
1520161200,8.5
1520164800,10.4
1520168400,10.6
1520172000,10.8
1520175600,9.8
1520179200,9.4
1520182800,9.1
1520186400,7.7
1520190000,6.5
1520193600,6.6
1520197200,6.4
1520200800,5.6
1520204400,5.4
